date.month,date.year,date.day,name,links.download.url,links.notes.url,sdks.tvOS[1].number,sdks.tvOS[1].build,sdks.tvOS[1].release.gm,sdks.iOS[1].number,sdks.iOS[1].build,sdks.iOS[1].release.gm,sdks.macOS[1].number,sdks.macOS[1].build,sdks.macOS[1].release.gm,sdks.watchOS[1].number,sdks.watchOS[1].build,sdks.watchOS[1].release.gm,compilers.clang[1].number,compilers.clang[1].build,compilers.clang[1].release.gm,compilers.swift[1].number,compilers.swift[1].build,compilers.swift[1].release.gm,version.number,version.build,version.release.gm,requires,version.release.beta,version.release.gmSeed,compilers.llvm[1].build,compilers.llvm[1].release.gm,sdks.macOS[2].build,sdks.macOS[2].release.gm,version.release.dp,compilers.llvm_gcc[1].number,compilers.llvm_gcc[1].build,compilers.llvm_gcc[1].release.gm,compilers.gcc[1].number,compilers.gcc[1].build,compilers.gcc[1].release.gm,compilers.gcc[2].number,compilers.gcc[2].build,compilers.gcc[2].release.gm,sdks.iOS[2].build,sdks.iOS[2].release.gm,sdks.macOS[3].build,sdks.macOS[3].release.gm,sdks.macOS[2].number,sdks.macOS[3].number
9,2018,17,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_10/Xcode_10.xip,https://developer.apple.com/documentation/xcode_release_notes/xcode_10_release_notes,12,16J364,TRUE,12,16A366,TRUE,10.14,18A384,TRUE,5,16R363,TRUE,10.0.0,1000.10.43.1,TRUE,4.2,1000.11.37.1,TRUE,10,10A255,TRUE,10.13.6,,,,,,,,,,,,,,,,,,,,,,
9,2018,12,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_10_GM_seed/Xcode_10_GM_seed.xip,,12,16J364,TRUE,12,16A366,TRUE,10.14,18A384,TRUE,5,16R363,TRUE,10.0.0,1000.11.45.2,TRUE,4.2,1000.11.37.1,TRUE,10,10A254a,,10.13.6,,1,,,,,,,,,,,,,,,,,,,,
8,2018,13,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_10_Beta_6/Xcode_10_Beta_6.xip,https://download.developer.apple.com/Developer_Tools/Xcode_10_Beta_6/Xcode_10_Beta_6_Release_Notes.pdf,12,16J5349a,TRUE,12,16A5354b,TRUE,10.14,18A361a,TRUE,5,16R5349a,TRUE,10.0.0,1000.10.43.1,TRUE,4.2,1000.0.36,TRUE,10,10L232m,,10.13.4,6,,,,,,,,,,,,,,,,,,,,,
7,2018,30,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_10_beta_5/Xcode_10_beta_5.xip,https://download.developer.apple.com/Developer_Tools/Xcode_10_beta_5/Release_Notes_for_Xcode_10_beta_5.pdf,12,16J5334d,TRUE,12,16A5339e,TRUE,10.14,18A347e,TRUE,5,16R5334e,TRUE,10.0.0,1000.10.40.1,TRUE,4.2,1000.0.32.1,TRUE,10,10L221o,,10.13.4,5,,,,,,,,,,,,,,,,,,,,,
7,2018,17,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_10_beta_4/Xcode_10_beta_4.xip,https://download.developer.apple.com/Developer_Tools/Xcode_10_beta_4/Release_Notes_for_Xcode_10_beta_4.pdf,12,16J5322d,TRUE,12,16A5327d,TRUE,10.14,18A336d,TRUE,5,16R5322d,TRUE,10.0.0,1000.10.40.1,TRUE,4.2,1000.0.29.2,TRUE,10,10L213o,,10.13.4,4,,,,,,,,,,,,,,,,,,,,,
7,2018,3,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_10_beta_3/Xcode_10_beta_3.dmg,https://download.developer.apple.com/Developer_Tools/Xcode_10_Beta_3/Xcode_10_Beta_3_Release_Notes.pdf,12,16J5313d,TRUE,12,16A5318d,TRUE,10.14,18A326e,TRUE,5,16R5313d,TRUE,10.0.0,1000.10.38,TRUE,4.2,1000.0.25.1,TRUE,10,10L201y,,10.13.4,3,,,,,,,,,,,,,,,,,,,,,
6,2018,19,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_10_Beta_2/Xcode_10_Beta_2.xip,https://download.developer.apple.com/Developer_Tools/Xcode_10_Beta_2/Xcode_10_Beta_2_Release_Notes.pdf,12,16J5303d,TRUE,12,16A5308d,TRUE,10.14,18A314f,TRUE,5,16R5303d,TRUE,10.0.0,1000.10.25.5,TRUE,4.2,1000.0.16.9,TRUE,10,10L177m,,10.13.4,2,,,,,,,,,,,,,,,,,,,,,
6,2018,4,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_10_Beta/Xcode_10_Beta.xip,https://download.developer.apple.com/Documentation/Beta_Release_Notes_Jun_4_2018/Xcode_10_Beta_Release_Notes.pdf,12,16J5283n,TRUE,12,16A5288q,TRUE,10.14,18A293s,TRUE,5,16R5283q,TRUE,10.0.0,1000.10.25.5,TRUE,4.2,1000.0.16.7,TRUE,10,10L176w,,10.13.4,1,,,,,,,,,,,,,,,,,,,,,
6,2018,19,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_9.4.1/Xcode_9.4.1.xip,https://developer.apple.com/library/archive/releasenotes/DeveloperTools/RN-Xcode/Chapters/Introduction.html#//apple_ref/doc/uid/TP40001051-CH1-DontLinkElementID_1,11.4,15L576,TRUE,11.4,15F79,TRUE,10.13.4,1.70E+190,TRUE,4.3,15T212,TRUE,9.1.0,902.0.39.2,TRUE,4.1.2,902.0.54,TRUE,9.4.1,9F2000,TRUE,10.13.2,,,,,,,,,,,,,,,,,,,,,,
5,2018,29,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_9.4/Xcode_9.4.xip,https://developer.apple.com/library/content/releasenotes/DeveloperTools/RN-Xcode/Chapters/Introduction.html#//apple_ref/doc/uid/TP40001051-CH1-DontLinkElementID_1,11.4,15L576,TRUE,11.4,15F79,TRUE,10.13.4,1.70E+190,TRUE,4.3,15T212,TRUE,9.1.0,902.0.39.2,TRUE,4.1.2,902.0.54,TRUE,9.4,9F1027a,TRUE,10.13.2,,,,,,,,,,,,,,,,,,,,,,
5,2018,1,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_9.4_beta_2/Xcode_9.4_beta_2.xip,https://download.developer.apple.com/Developer_Tools/Xcode_9.4_beta_2/Release_Notes_for_Xcode_9.4_beta_2.pdf,11.4,15L5560b,TRUE,11.4,15F5061c,TRUE,10.13.4,1.70E+190,TRUE,4.3,15T212,TRUE,9.1.0,902.0.39.2,TRUE,4.1.1,902.0.53,TRUE,9.4,9Q1019a,,10.13.2,2,,,,,,,,,,,,,,,,,,,,,
4,2018,2,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_9.4_beta/Xcode_9.4_beta.xip,,,15L5536b,TRUE,11.4,15F5037c,TRUE,10.13.4,1.70E+190,TRUE,4.3,15T212,TRUE,9.1.0,902.0.39.1,TRUE,4.1.1,902.0.50,TRUE,9.4,9Q1004a,,10.13.2,1,,,,,,,,,,,,,,,,,,,,,
5,2018,10,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_9.3.1/Xcode_9.3.1.xip,https://developer.apple.com/library/content/releasenotes/DeveloperTools/RN-Xcode/Chapters/Introduction.html#//apple_ref/doc/uid/TP40001051-CH1-DontLinkElementID_1,11.3,15L211,TRUE,11.3,1.50E+218,TRUE,10.13.4,1.70E+190,TRUE,4.3,15T212,TRUE,9.1.0,902.0.39.1,TRUE,4.1,902.0.48902.0.48,TRUE,9.3.1,9E501,TRUE,10.13.2,,,,,,,,,,,,,,,,,,,,,,
3,2018,29,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_9.3/Xcode_9.3.xip,https://developer.apple.com/library/content/releasenotes/DeveloperTools/RN-Xcode/Chapters/Introduction.html#//apple_ref/doc/uid/TP40001051-CH1-DontLinkElementID_1,11.3,15L211,TRUE,11.3,1.50E+218,TRUE,10.13.4,1.70E+190,TRUE,4.3,15T212,TRUE,9.1.0,902.0.39.1,TRUE,4.1,902.0.48,TRUE,9.3,9.00E+145,TRUE,10.13.2,,,,,,,,,,,,,,,,,,,,,,
3,2018,5,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_9.3_beta_4/Xcode_9.3_beta_4.xip,,,15L5198d,TRUE,,15E5201e,TRUE,,17E170c,TRUE,,15T5199e,TRUE,9.1.0,902.0.37.1,TRUE,4.1,902.0.43,TRUE,9.3,9Q127n,,10.13.2,4,,,,,,,,,,,,,,,,,,,,,
2,2018,20,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_9.3_beta_3/Xcode_9.3_beta_3.xip,,,15L5186d,TRUE,,15E5189d,TRUE,,17E160d,TRUE,,15T5187d,TRUE,9.1.0,902.0.34,TRUE,4.1,902.0.41,TRUE,9.3,9Q117m,,10.13.2,3,,,,,,,,,,,,,,,,,,,,,
2,2018,6,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_9.3_beta_2/Xcode_9.3_beta_2.xip,,,15L5175d,TRUE,,15E5178d,TRUE,,17E150d,TRUE,,15T5176c,TRUE,9.1.0,902.0.31,TRUE,4.1,902.0.38,TRUE,9.3,9Q107o,,10.13.2,2,,,,,,,,,,,,,,,,,,,,,
